Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS
Jun 2012,830.590862,0,805.567188,1933.38001,793.0129069
Jul 2012,843.479069,0,829.106658,2016.77006,847.3169955
Ago 2012,844.725941,0,840.444323,2032.23354,848.3405104
Sep 2012,835.698625,0,863.347613,2094.54517,897.2830825
Oct 2012,818.344661,0,870.533037,2107.97191,901.6412547
Nov 2012,825.120087,0,882.923911,2172.57522,910.529983
Dic 2012,811.949232,0,906.53669,2057.5232,887.0760811
Ene 2013,833.617276,0,918.593404,2144.75717,906.4728446
Feb 2013,814.954179,0,938.179731,2211.98718,928.2567384
Mar 2013,832.860377,0,944.970093,2283.16434,968.6749524
Abr 2013,833.265051,0,964.840337,2400.95577,1017.35547
May 2013,830.198602,0,977.286254,2342.30257,966.1454012
Jun 2013,848.758847,0,996.296058,2157.68628,920.2662192
Jul 2013,836.197088,0,1002.079815,2162.23747,926.9178078
Ago 2013,826.331664,0,1025.046313,2195.87932,944.9160305
Sep 2013,825.114764,0,1020.547344,2273.84526,987.5101442
Oct 2013,801.738741,0,1047.131194,2321.80665,999.1078768
Nov 2013,812.844225,0,1041.339691,2350.45896,1009.678737
Dic 2013,952.083488,0,1062.618241,2195.67317,940.1214489
Ene 2014,932.882905,0,1056.127131,2248.84927,955.3955763
Feb 2014,956.900614,0,1073.680631,2319.74915,993.6854356
Mar 2014,946.211632,0,1061.451921,2441.28577,1022.478736
Abr 2014,919.519073,0,1085.599472,2485.03704,1045.741415
May 2014,934.855798,0,1077.565806,2582.84383,1099.177094
Jun 2014,950.274325,0,1095.528942,2516.9803,1114.60383
Jul 2014,969.719374,0,1088.954634,2568.07937,1140.44333
Ago 2014,906.624711,0,1107.413102,2619.17519,1164.393635
Sep 2014,924.657265,0,1098.175133,2606.41853,1152.800391
Oct 2014,954.670766,0,1130.878883,2659.349,1191.288323
Nov 2014,1014.380685,0,1127.945718,2738.82149,1216.787317
Dic 2014,1010.576883,0,1158.342391,2638.70498,1128.037734
Ene 2015,1007.175594,0,1162.945251,2772.16198,1156.340606
Feb 2015,1000.552894,0,1192.969701,2758.78744,1155.796602
Mar 2015,1029.728007,0,1199.73326,2773.42254,1147.390258
Abr 2015,1026.579013,0,1192.960265,2808.95877,1165.02012
May 2015,1041.493444,0,1198.82764,2857.47572,1189.575686
Jun 2015,1025.488859,0,1229.87572,2729.89559,1180.241293
Jul 2015,1016.193771,0,1229.922931,2781.72397,1201.294926
Ago 2015,1033.884007,0,1201.408499,2829.34369,1212.131087
Sep 2015,984.017892,0,1198.301768,2883.21688,1232.032572
Oct 2015,893.970427,0,1206.572942,2936.97132,1251.19127
Nov 2015,847.331781,0,1216.207031,2972.30657,1257.370272
Dic 2015,865.339283,0,1233.710494,2870.39992,1229.57368
Ene 2016,826.603578,0,1211.355222,2944.3088,1273.163231
Feb 2016,816.337223,0,1226.662506,2972.37373,1294.255634
Mar 2016,714.33497,0,1207.817268,3045.58187,1329.653117
Abr 2016,679.656508,0,1198.598478,3113.56412,1362.567727
May 2016,675.52808,0,1174.916547,3056.76459,1313.167772
Jun 2016,733.204344,0,1141.8262,2936.86658,1222.482006
Jul 2016,764.553613,0,1144.16552,2959.14257,1265.351889
Ago 2016,774.927459,0,1206.705802,3021.63809,1270.583378
Sep 2016,764.122117,0,1178.144282,3043.26023,1293.514972
Oct 2016,730.902351,0,1155.978679,3017.25261,1288.701933
Nov 2016,746.743945,0,1173.400187,2939.16064,1277.453867
Dic 2016,762.36052,0,1157.862012,2766.79327,1290.932863
Ene 2017,776.400601,0,1173.326236,2822.86557,1311.295461
Feb 2017,780.779682,0,1162.271406,2869.31515,1335.510685
Mar 2017,793.414843,0,1192.428073,2968.0093,1373.44635
Abr 2017,856.266198,0,1177.571696,2993.71354,1413.284734
May 2017,810.046377,0,1205.465305,3009.27044,1429.005368
Jun 2017,878.598493,0,1199.138581,2949.19352,1449.708142
Jul 2017,880.092517,0,1215.780544,2968.12021,1465.146223
Ago 2017,896.874706,0,1230.470726,3025.18289,1492.385731
Sep 2017,887.53947,0,1256.248149,3053.90826,1531.11232
Oct 2017,903.294365,0,1238.408372,3028.20496,1514.635081
Nov 2017,886.755033,0,1267.56025,3024.35955,1547.772335
Dic 2017,884.562661,0,1261.07378,2839.37228,1458.798997
Ene 2018,889.624588,0,1277.283348,2878.25,1476.754283
Feb 2018,881.109603,0,1266.997662,2914.60551,1490.727687
Mar 2018,847.681283,0,1275.61134,3046.03561,1516.505105
Abr 2018,821.330863,0,1256.820717,3129.36994,1537.358634
May 2018,851.483569,0,1288.367564,3126.92504,1557.408925
Jun 2018,851.234256,0,1252.688932,2984.35162,1559.125619
Jul 2018,971.898169,0,1260.846768,2921.47056,1595.874542
Ago 2018,948.620228,0,1270.666866,2932.24162,1614.573942
Sep 2018,977.141114,0,1262.306807,2986.33602,1635.288516
Oct 2018,945.205874,0,1250.342786,2903.53258,1596.652309
Nov 2018,972.172833,0,1281.26579,2906.97889,1586.921014
Dic 2018,943.891166,0,1254.227965,2823.84574,1652.506958
Ene 2019,882.701376,0,1292.296226,2920.33591,1653.809057
Feb 2019,868.45551,0,1288.792044,2997.83978,1679.081903
Mar 2019,805.130151,0,1304.737738,3091.16669,1726.892763
Abr 2019,844.946136,0,1348.430638,3131.74764,1772.060031
May 2019,829.602078,0,1389.971334,3207.79975,1804.90861
Jun 2019,926.705403,0,1365.674901,3246.02065,1658.689012
Jul 2019,913.786768,0,1397.669107,3317.63018,1693.976706
Ago 2019,926.693092,0,1394.602607,3464.89414,1761.074478
Sep 2019,908.946891,0,1425.974363,3551.36763,1778.354896
Oct 2019,992.185196,0,1420.031824,3672.42291,1828.992417
Nov 2019,1053.150846,0,1466.541308,3700.95436,1844.957544
Dic 2019,1115.85531,0,1418.770542,3457.61519,1839.287021
Ene 2020,1060.281803,0,1410.529173,3576.4245,1911.711785
Feb 2020,990.12294,0,1444.522099,3597.99433,1941.579353
