FECHA,TASA DE RENDIMIENTO CETES 1 A¥O
22/06/2017,7.20
29/06/2017,N/E
06/07/2017,N/E
13/07/2017,N/E
20/07/2017,7.23
27/07/2017,N/E
03/08/2017,N/E
10/08/2017,N/E
17/08/2017,7.22
24/08/2017,N/E
31/08/2017,N/E
07/09/2017,N/E
14/09/2017,7.18
21/09/2017,N/E
28/09/2017,N/E
05/10/2017,N/E
12/10/2017,7.18
19/10/2017,N/E
26/10/2017,N/E
01/11/2017,N/E
09/11/2017,7.27
16/11/2017,N/E
23/11/2017,N/E
30/11/2017,N/E
07/12/2017,7.33
14/12/2017,N/E
21/12/2017,N/E
28/12/2017,N/E
04/01/2018,7.78
11/01/2018,N/E
18/01/2018,N/E
25/01/2018,N/E
01/02/2018,7.70
08/02/2018,N/E
15/02/2018,N/E
22/02/2018,N/E
01/03/2018,7.85
08/03/2018,N/E
15/03/2018,N/E
22/03/2018,N/E
28/03/2018,7.80
05/04/2018,N/E
12/04/2018,N/E
19/04/2018,N/E
26/04/2018,7.71
03/05/2018,N/E
10/05/2018,N/E
17/05/2018,N/E
24/05/2018,7.94
31/05/2018,N/E
07/06/2018,N/E
14/06/2018,N/E
21/06/2018,8.10
28/06/2018,N/E
05/07/2018,N/E
12/07/2018,N/E
19/07/2018,8.19
26/07/2018,N/E
02/08/2018,N/E
09/08/2018,N/E
16/08/2018,8.15
23/08/2018,N/E
30/08/2018,N/E
06/09/2018,N/E
13/09/2018,8.26
20/09/2018,N/E
27/09/2018,N/E
04/10/2018,N/E
11/10/2018,8.20
18/10/2018,N/E
25/10/2018,N/E
01/11/2018,N/E
08/11/2018,8.49
15/11/2018,N/E
22/11/2018,N/E
29/11/2018,N/E
06/12/2018,8.67
13/12/2018,N/E
20/12/2018,N/E
27/12/2018,N/E
03/01/2019,N/E
10/01/2019,8.62
17/01/2019,N/E
24/01/2019,N/E
31/01/2019,8.42
07/02/2019,N/E
14/02/2019,N/E
21/02/2019,N/E
28/02/2019,8.20
07/03/2019,N/E
14/03/2019,N/E
21/03/2019,N/E
28/03/2019,8.05
04/04/2019,N/E
11/04/2019,N/E
17/04/2019,N/E
25/04/2019,8.15
02/05/2019,N/E
09/05/2019,N/E
16/05/2019,N/E
23/05/2019,8.28
30/05/2019,N/E
06/06/2019,N/E
13/06/2019,N/E
20/06/2019,8.16
27/06/2019,N/E
04/07/2019,N/E
11/07/2019,N/E
18/07/2019,8.04
25/07/2019,N/E
01/08/2019,N/E
08/08/2019,N/E
15/08/2019,7.78
22/08/2019,N/E
29/08/2019,N/E
05/09/2019,N/E
12/09/2019,7.39
19/09/2019,N/E
26/09/2019,N/E
03/10/2019,N/E
10/10/2019,7.18
17/10/2019,N/E
24/10/2019,N/E
31/10/2019,N/E
07/11/2019,7.12
14/11/2019,N/E
21/11/2019,N/E
28/11/2019,N/E
05/12/2019,7.18
11/12/2019,N/E
19/12/2019,N/E
26/12/2019,N/E
02/01/2020,7.18
09/01/2020,N/E
16/01/2020,N/E
23/01/2020,N/E
30/01/2020,6.97
06/02/2020,N/E
13/02/2020,N/E
20/02/2020,N/E
27/02/2020,6.66
05/03/2020,N/E
12/03/2020,N/E
19/03/2020,N/E
26/03/2020,6.61
02/04/2020,N/E
08/04/2020,N/E
16/04/2020,N/E
23/04/2020,5.79
